column,missing,zero_count,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
기준연도,0,0,10242.0,2024.0,0.0,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0
입결_프록시,6505,0,3737.0,69.65612282611264,19.07292093772852,0.1,3.7734,30.764000000000003,61.4,72.5,82.87,94.17,97.782,100.0
A비율,0,319,10242.0,41.72642670389795,17.01099898825882,0.0,0.0,14.643037518037518,32.47653929826284,39.791551837104606,49.94047190971149,73.03608750946015,92.85714285714286,100.0
CD비율,0,475,10242.0,18.606949740883838,12.729525295905333,0.0,0.0,0.8335517524925484,10.41239873929138,17.96790734866772,24.79216425656456,35.551011500697264,66.66666666666667,100.0
F비율,0,1808,10242.0,3.9370096858148194,9.650919013792794,0.0,0.0,0.0,0.5130970003232777,1.695089717198574,3.510925684266531,12.752199591732444,50.73750000000018,100.0
전체취업률,2765,78,7477.0,61.58654550035534,17.444646864701912,0.0,0.0,33.333333333333336,50.0,62.06896551724138,72.0,91.66666666666669,100.0,100.0
건보가입취업률,2765,136,7477.0,52.67570499998595,19.217385186951955,0.0,0.0,20.0,41.1764705882353,52.94117647058823,64.0,86.20689655172414,100.0,100.0
전체진학률,2655,3098,7587.0,8.3730697398367,13.086164312473247,0.0,0.0,0.0,0.0,2.9411764705882355,11.11111111111111,35.8974358974359,57.52692307692314,100.0
전문대학진학률,2655,7339,7587.0,0.1093474340025487,0.945584603507031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4482758620689653,50.0
대학진학률,2655,7077,7587.0,0.2016327414472678,0.9872641071733173,0.0,0.0,0.0,0.0,0.0,0.0,1.4705882352941178,4.761904761904762,25.0
대학원진학률,2655,3343,7587.0,8.062089564386884,13.011694162496351,0.0,0.0,0.0,0.0,2.380952380952381,10.84119496855346,35.483870967741936,57.192857142857264,100.0
국내진학률,2655,3119,7587.0,8.297621014277402,13.025195102682593,0.0,0.0,0.0,0.0,2.857142857142857,11.11111111111111,35.714285714285715,57.192857142857264,100.0
국외진학률,2655,7406,7587.0,0.0754487255592994,0.657506988743876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.745053272450545,18.181818181818183
