model_id,feature,role
P2-S1,major_group_7,categorical
P2-S1,school_type,categorical
P2-S1,region_sido,categorical
P2-S1,campus_branch,categorical
P2-S2,major_group_7,categorical
P2-S2,school_type,categorical
P2-S2,region_sido,categorical
P2-S2,campus_branch,categorical
P2-S2,female_student_share_pct,numeric
P2-S2,international_student_share_pct,numeric
P2-S2,leave_rate_pct,numeric
P2-S2,student_faculty_ratio,numeric
P2-S2,fulltime_faculty_share_pct,numeric
P2-S3,major_group_7,categorical
P2-S3,school_type,categorical
P2-S3,region_sido,categorical
P2-S3,campus_branch,categorical
P2-S3,female_student_share_pct,numeric
P2-S3,international_student_share_pct,numeric
P2-S3,leave_rate_pct,numeric
P2-S3,student_faculty_ratio,numeric
P2-S3,fulltime_faculty_share_pct,numeric
P2-S3,log_enrolled_students,numeric
P2-S3,log_graduates,numeric
P2-S4,major_group_7,categorical
P2-S4,school_type,categorical
P2-S4,region_sido,categorical
P2-S4,campus_branch,categorical
P2-S4,credit_forfeit_flag,categorical
P2-S4,female_student_share_pct,numeric
P2-S4,international_student_share_pct,numeric
P2-S4,leave_rate_pct,numeric
P2-S4,student_faculty_ratio,numeric
P2-S4,fulltime_faculty_share_pct,numeric
P2-S4,log_enrolled_students,numeric
P2-S4,log_graduates,numeric
P2-Q1,major_group_7,categorical
P2-Q1,school_type,categorical
P2-Q1,region_sido,categorical
P2-Q1,campus_branch,categorical
P2-Q2,major_group_7,categorical
P2-Q2,school_type,categorical
P2-Q2,region_sido,categorical
P2-Q2,campus_branch,categorical
P2-Q2,credit_forfeit_flag,categorical
P2-Q2,female_student_share_pct,numeric
P2-Q2,international_student_share_pct,numeric
P2-Q2,leave_rate_pct,numeric
P2-Q2,student_faculty_ratio,numeric
P2-Q2,fulltime_faculty_share_pct,numeric
P2-Q2,log_enrolled_students,numeric
P2-Q2,log_graduates,numeric
P2-Q3,major_group_7,categorical
P2-Q3,school_type,categorical
P2-Q3,region_sido,categorical
P2-Q3,campus_branch,categorical
P2-Q3,credit_forfeit_flag,categorical
P2-Q3,female_student_share_pct,numeric
P2-Q3,international_student_share_pct,numeric
P2-Q3,leave_rate_pct,numeric
P2-Q3,student_faculty_ratio,numeric
P2-Q3,fulltime_faculty_share_pct,numeric
P2-Q3,log_enrolled_students,numeric
P2-Q3,log_graduates,numeric
P2-Q3,selectivity_proxy_pct,numeric
P2-Q4,major_group_7,categorical
P2-Q4,school_type,categorical
P2-Q4,region_sido,categorical
P2-Q4,campus_branch,categorical
P2-Q4,credit_forfeit_flag,categorical
P2-Q4,female_student_share_pct,numeric
P2-Q4,international_student_share_pct,numeric
P2-Q4,leave_rate_pct,numeric
P2-Q4,student_faculty_ratio,numeric
P2-Q4,fulltime_faculty_share_pct,numeric
P2-Q4,log_enrolled_students,numeric
P2-Q4,log_graduates,numeric
P2-Q4,selectivity_proxy_pct,numeric
P2-Q4,competition_ratio,numeric
P2-Q4-YIELD,major_group_7,categorical
P2-Q4-YIELD,school_type,categorical
P2-Q4-YIELD,region_sido,categorical
P2-Q4-YIELD,campus_branch,categorical
P2-Q4-YIELD,credit_forfeit_flag,categorical
P2-Q4-YIELD,female_student_share_pct,numeric
P2-Q4-YIELD,international_student_share_pct,numeric
P2-Q4-YIELD,leave_rate_pct,numeric
P2-Q4-YIELD,student_faculty_ratio,numeric
P2-Q4-YIELD,fulltime_faculty_share_pct,numeric
P2-Q4-YIELD,log_enrolled_students,numeric
P2-Q4-YIELD,log_graduates,numeric
P2-Q4-YIELD,selectivity_proxy_pct,numeric
P2-Q4-YIELD,admission_yield_ratio,numeric
P2-Q4-ADMIT,major_group_7,categorical
P2-Q4-ADMIT,school_type,categorical
P2-Q4-ADMIT,region_sido,categorical
P2-Q4-ADMIT,campus_branch,categorical
P2-Q4-ADMIT,credit_forfeit_flag,categorical
P2-Q4-ADMIT,female_student_share_pct,numeric
P2-Q4-ADMIT,international_student_share_pct,numeric
P2-Q4-ADMIT,leave_rate_pct,numeric
P2-Q4-ADMIT,student_faculty_ratio,numeric
P2-Q4-ADMIT,fulltime_faculty_share_pct,numeric
P2-Q4-ADMIT,log_enrolled_students,numeric
P2-Q4-ADMIT,log_graduates,numeric
P2-Q4-ADMIT,selectivity_proxy_pct,numeric
P2-Q4-ADMIT,admit_per_applicant_ratio,numeric
