check,column,bad_n,status
a_rate_pct_range_0_100,a_rate_pct,0,PASS
cd_rate_pct_range_0_100,cd_rate_pct,0,PASS
f_rate_pct_range_0_100,f_rate_pct,0,PASS
employment_rate_pct_range_0_100,employment_rate_pct,0,PASS
health_employment_rate_pct_range_0_100,health_employment_rate_pct,0,PASS
graduate_school_progression_rate_pct_range_0_100,graduate_school_progression_rate_pct,0,PASS
admission_capacity_n_nonnegative,admission_capacity_n,0,PASS
recruitment_n_nonnegative,recruitment_n,0,PASS
applicants_n_nonnegative,applicants_n,0,PASS
admits_n_nonnegative,admits_n,0,PASS
enrolled_students_n_nonnegative,enrolled_students_n,0,PASS
leave_students_n_nonnegative,leave_students_n,0,PASS
graduates_n_nonnegative,graduates_n,0,PASS
fulltime_faculty_n_nonnegative,fulltime_faculty_n,0,PASS
nonfulltime_faculty_n_nonnegative,nonfulltime_faculty_n,0,PASS
international_students_n_nonnegative,international_students_n,0,PASS
female_students_n_nonnegative,female_students_n,0,PASS
masters_students_n_nonnegative,masters_students_n,0,PASS
doctoral_students_n_nonnegative,doctoral_students_n,0,PASS
ctx24_reference_sample_n_nonnegative,ctx24_reference_sample_n,0,PASS
goms_profile_years_n_nonnegative,goms_profile_years_n,0,PASS
