check,actual,status,detail
row_count,10242,PASS,
column_count,151,PASS,
actual_key_mapping,"{""analysis_year"": ""analysis_year"", ""p4_school_uid"": ""school_uid"", ""p4_campus_uid"": ""campus_uid"", ""p4_dept_uid"": ""dept_uid"", ""outcome_row_id"": ""outcome_row_id""}",PASS,
duplicate_entire_rows,0,PASS,
duplicate_outcome_row_id_extra,0,PASS,
duplicate_full_p4_grain_extra,0,PASS,
duplicate_department_grain_extra_without_outcome_id,18,WARN,
null_key_analysis_year,0,PASS,
null_key_school_uid,0,PASS,
null_key_campus_uid,0,PASS,
null_key_dept_uid,0,PASS,
null_key_outcome_row_id,0,PASS,
school_n,200,INFO,
campus_n,452,INFO,
dept_uid_n,10222,INFO,
headcount_uid_extra_duplicates,14,WARN,
