phase_id,branch_id,model_id,target,feature,feature_role,allowed,reason,measurement_level,same_time_or_lag,audit_status
P1,alignment,P1_SIGNAL_ALIGNMENT,a_rate_pct,cd_rate_pct,target_candidate_or_phase_signal,False,not_in_phase_allowlist,department,same_time_alignment,INTENDED_EXCLUSION
P1,alignment,P1_SIGNAL_ALIGNMENT,a_rate_pct,f_rate_pct,target_candidate_or_phase_signal,False,not_in_phase_allowlist,department,same_time_alignment,INTENDED_EXCLUSION
P1,alignment,P1_SIGNAL_ALIGNMENT,a_rate_pct,employment_rate_pct,target_candidate_or_phase_signal,False,not_in_phase_allowlist,department,same_time_alignment,INTENDED_EXCLUSION
P1,alignment,P1_SIGNAL_ALIGNMENT,a_rate_pct,progression_rate_pct,target_candidate_or_phase_signal,False,not_in_phase_allowlist,department,same_time_alignment,INTENDED_EXCLUSION
P2-S,structure,P2_STRUCTURE,a_rate_pct,cd_rate_pct,target_candidate_or_phase_signal,False,not_in_phase_allowlist,department,same_time_controls,INTENDED_EXCLUSION
P2-S,structure,P2_STRUCTURE,a_rate_pct,f_rate_pct,target_candidate_or_phase_signal,False,not_in_phase_allowlist,department,same_time_controls,INTENDED_EXCLUSION
P2-S,structure,P2_STRUCTURE,a_rate_pct,employment_rate_pct,target_candidate_or_phase_signal,False,not_in_phase_allowlist,department,same_time_controls,INTENDED_EXCLUSION
P2-S,structure,P2_STRUCTURE,a_rate_pct,progression_rate_pct,target_candidate_or_phase_signal,False,not_in_phase_allowlist,department,same_time_controls,INTENDED_EXCLUSION
P2-Q,selectivity,P2_SELECTIVITY,a_rate_pct,cd_rate_pct,target_candidate_or_phase_signal,False,not_in_phase_allowlist,department,same_time_controls,INTENDED_EXCLUSION
P2-Q,selectivity,P2_SELECTIVITY,a_rate_pct,f_rate_pct,target_candidate_or_phase_signal,False,not_in_phase_allowlist,department,same_time_controls,INTENDED_EXCLUSION
P2-Q,selectivity,P2_SELECTIVITY,a_rate_pct,employment_rate_pct,target_candidate_or_phase_signal,False,not_in_phase_allowlist,department,same_time_controls,INTENDED_EXCLUSION
P2-Q,selectivity,P2_SELECTIVITY,a_rate_pct,progression_rate_pct,target_candidate_or_phase_signal,False,not_in_phase_allowlist,department,same_time_controls,INTENDED_EXCLUSION
P3-S,structure,P3_STRUCTURE,a_rate_pct,cd_rate_pct,target_candidate_or_phase_signal,False,not_in_phase_allowlist,department,same_time_controls,INTENDED_EXCLUSION
P3-S,structure,P3_STRUCTURE,a_rate_pct,f_rate_pct,target_candidate_or_phase_signal,False,not_in_phase_allowlist,department,same_time_controls,INTENDED_EXCLUSION
P3-S,structure,P3_STRUCTURE,a_rate_pct,employment_rate_pct,target_candidate_or_phase_signal,False,not_in_phase_allowlist,department,same_time_controls,INTENDED_EXCLUSION
P3-S,structure,P3_STRUCTURE,a_rate_pct,progression_rate_pct,target_candidate_or_phase_signal,False,not_in_phase_allowlist,department,same_time_controls,INTENDED_EXCLUSION
P3-Q,selectivity,P3_SELECTIVITY,a_rate_pct,cd_rate_pct,target_candidate_or_phase_signal,False,not_in_phase_allowlist,department,same_time_controls,INTENDED_EXCLUSION
P3-Q,selectivity,P3_SELECTIVITY,a_rate_pct,f_rate_pct,target_candidate_or_phase_signal,False,not_in_phase_allowlist,department,same_time_controls,INTENDED_EXCLUSION
P3-Q,selectivity,P3_SELECTIVITY,a_rate_pct,employment_rate_pct,target_candidate_or_phase_signal,False,not_in_phase_allowlist,department,same_time_controls,INTENDED_EXCLUSION
P3-Q,selectivity,P3_SELECTIVITY,a_rate_pct,progression_rate_pct,target_candidate_or_phase_signal,False,not_in_phase_allowlist,department,same_time_controls,INTENDED_EXCLUSION
P4-E,employment,P4_EMPLOYMENT,health_employment_rate_pct,employment_rate_pct,target_candidate_or_phase_signal,False,same_employment_family_forbidden,department,same_time_or_oof,INTENDED_EXCLUSION
P4-E,employment,P4_EMPLOYMENT,health_employment_rate_pct,health_employment_rate_pct,target_candidate_or_phase_signal,False,target_itself_forbidden,department,same_time_or_oof,INTENDED_EXCLUSION
P4-E,employment,P4_EMPLOYMENT,health_employment_rate_pct,has_employment,target_family_observation_flag,False,identifier_or_quality_metadata,row_quality,same_time_or_oof,INTENDED_EXCLUSION
P4-E,employment,P4_EMPLOYMENT,health_employment_rate_pct,goms_recent_employment_rate_pct,major7_historical_context,False,not_in_phase_allowlist,major7,same_time_or_oof,INTENDED_EXCLUSION
P4-P,progression,P4_PROGRESSION,graduate_school_progression_rate_pct,progression_rate_pct,target_candidate_or_phase_signal,False,same_progression_family_forbidden,department,same_time_or_oof,INTENDED_EXCLUSION
P4-P,progression,P4_PROGRESSION,graduate_school_progression_rate_pct,vocational_college_progression_rate_pct,target_candidate_or_phase_signal,False,same_progression_family_forbidden,department,same_time_or_oof,INTENDED_EXCLUSION
P4-P,progression,P4_PROGRESSION,graduate_school_progression_rate_pct,university_progression_rate_pct,target_candidate_or_phase_signal,False,same_progression_family_forbidden,department,same_time_or_oof,INTENDED_EXCLUSION
P4-P,progression,P4_PROGRESSION,graduate_school_progression_rate_pct,graduate_school_progression_rate_pct,target_candidate_or_phase_signal,False,target_itself_forbidden,department,same_time_or_oof,INTENDED_EXCLUSION
P4-P,progression,P4_PROGRESSION,graduate_school_progression_rate_pct,domestic_progression_rate_pct,target_candidate_or_phase_signal,False,same_progression_family_forbidden,department,same_time_or_oof,INTENDED_EXCLUSION
P4-P,progression,P4_PROGRESSION,graduate_school_progression_rate_pct,overseas_progression_rate_pct,target_candidate_or_phase_signal,False,same_progression_family_forbidden,department,same_time_or_oof,INTENDED_EXCLUSION
P4-P,progression,P4_PROGRESSION,graduate_school_progression_rate_pct,has_progression,target_family_observation_flag,False,identifier_or_quality_metadata,row_quality,same_time_or_oof,INTENDED_EXCLUSION
